Date,Usage
2019-09-06,957.35
2019-09-07,1031.47
2019-09-08,1088.89
2019-09-09,1681.88
2019-09-10,1389.56
2019-09-11,1958.54
2019-09-12,1621.33
2019-09-13,882.18
2019-09-14,1011.64
2019-09-15,909.32
2019-09-16,1821.78
2019-09-17,1886.51
2019-09-18,1601.5
2019-09-19,1414.62
2019-09-20,1324.84
2019-09-21,1093.07
2019-09-22,1477.26
2019-09-23,1687.1
2019-09-24,1606.72
2019-09-25,1516.93
2019-09-26,1518.5
2019-09-27,1434.98
2019-09-28,1254.89
2019-09-29,1191.2
2019-09-30,1743.48
2019-10-01,1711.12
2019-10-02,1768.54
2019-10-03,1822.82
2019-10-04,1246.54
2019-10-05,1048.18
2019-10-06,1386.43
2019-10-07,1834.31
2019-10-08,1741.39
2019-10-09,1747.66
2019-10-10,1775.84
2019-10-11,1505.45
2019-10-12,1484.57
2019-10-13,1386.43
2019-10-14,1733.04
2019-10-15,1998.22
2019-10-16,1857.28
2019-10-17,1705.9
2019-10-18,1408.36
2019-10-19,1123.34
2019-10-20,1143.18
2019-10-21,1626.55
2019-10-22,1632.82
2019-10-23,1677.71
2019-10-24,1622.38
2019-10-25,1271.59
2019-10-26,941.69
2019-10-27,1556.6
2019-10-28,1943.93
2019-10-29,1909.48
2019-10-30,1887.55
2019-10-31,1616.0
2019-11-01,1213.24
2019-11-02,1463.0
2019-11-03,1427.47
2019-11-04,2216.44
2019-11-05,2034.62
2019-11-06,1979.23
2019-11-07,1858.01
2019-11-08,1493.3
2019-11-09,1392.98
2019-11-10,1658.42
2019-11-11,1906.08
2019-11-12,2167.33
2019-11-13,2190.32
2019-11-14,1822.48
2019-11-15,1473.45
2019-11-16,1154.72
2019-11-17,1634.38
2019-11-18,1905.04
2019-11-19,1600.94
2019-11-20,1477.63
2019-11-21,1742.02
2019-11-22,1153.68
2019-11-23,996.93
2019-11-24,1188.16
2019-11-25,1862.19
2019-11-26,1536.15
2019-11-27,546.53
2019-11-28,242.44
2019-11-29,207.96
2019-11-30,338.0
2019-12-01,1595.31
2019-12-02,1974.85
2019-12-03,1853.51
2019-12-04,2226.93
2019-12-05,1884.89
2019-12-06,1352.48
2019-12-07,1142.23
2019-12-08,1313.78
2019-12-09,2020.87
2019-12-10,2054.34
2019-12-11,2406.85
2019-12-12,1904.77
2019-12-13,1172.57
2019-12-14,973.83
2019-12-15,1534.48
2019-12-16,1735.31
2019-12-17,1758.33
2019-12-18,2321.07
2019-12-19,1770.88
2019-12-20,1912.09
2019-12-21,1582.6
2019-12-22,1911.04
2019-12-23,995.79
2019-12-24,484.3
2019-12-25,1052.28
2019-12-26,2206.01
2019-12-27,1793.89
2019-12-28,1392.23
2019-12-29,1551.22
2019-12-30,984.29
2019-12-31,586.81
2020-01-01,1258.36
2020-01-02,1851.1
2020-01-03,1370.52
2020-01-04,1281.53
2020-01-05,1207.19
2020-01-06,1884.6
2020-01-07,1958.94
2020-01-08,1950.56
2020-01-09,1859.47
2020-01-10,1411.36
2020-01-11,1281.53
2020-01-12,1554.8
2020-01-13,1917.06
2020-01-14,2221.73
2020-01-15,1976.74
2020-01-16,2110.75
2020-01-17,1577.83
2020-01-18,1473.13
2020-01-19,1572.59
2020-01-20,2022.8
2020-01-21,1907.63
2020-01-22,1785.13
2020-01-23,1806.08
2020-01-24,1348.54
2020-01-25,1129.71
2020-01-26,1567.36
2020-01-27,1754.77
2020-01-28,1927.53
2020-01-29,1488.83
2020-01-30,1762.1
2020-01-31,1207.19
2020-02-01,1057.46
2020-02-02,1307.9
2020-02-03,1897.93
2020-02-04,1840.29
2020-02-05,1908.41
2020-02-06,1904.22
2020-02-07,1515.41
2020-02-08,1185.29
2020-02-09,1014.46
2020-02-10,1582.48
2020-02-11,1918.89
2020-02-12,1828.76
2020-02-13,2150.5
2020-02-14,1237.69
2020-02-15,1314.19
2020-02-16,1329.91
2020-02-17,1757.5
2020-02-18,1632.78
2020-02-19,1643.26
2020-02-20,1858.1
2020-02-21,1293.23
2020-02-22,1056.38
2020-02-23,1229.3
2020-02-24,1253.41
2020-02-25,1695.66
2020-02-26,2043.6
2020-02-27,1827.71
2020-02-28,1566.76
2020-02-29,1247.12
2020-03-01,1560.5
2020-03-02,1545.18
2020-03-03,1494.83
2020-03-04,1680.5
2020-03-05,1778.06
2020-03-06,1251.46
2020-03-07,1179.08
2020-03-08,1480.14
2020-03-09,1690.99
2020-03-10,1673.15
2020-03-11,1614.41
2020-03-12,1836.8
2020-03-13,1307.05
2020-03-14,1261.95
2020-03-15,1278.73
2020-03-16,1730.85
2020-03-17,1723.51
2020-03-18,1621.75
2020-03-19,1436.08
2020-03-20,1038.51
2020-03-21,1152.85
2020-03-22,1266.14
2020-03-23,1906.03
2020-03-24,1769.66
2020-03-25,1952.19
2020-03-26,1873.51
2020-03-27,1153.9
2020-03-28,845.49
2020-03-29,1253.56
2020-03-30,1812.67
2020-03-31,1757.08
2020-04-01,1691.55
2020-04-02,1504.65
2020-04-03,1633.8
2020-04-04,1048.95
2020-04-05,1662.15
2020-04-06,1724.1
2020-04-07,1948.8
2020-04-08,1666.35
2020-04-09,921.9
2020-04-10,211.05
2020-04-11,441.0
2020-04-12,1066.8
2020-04-13,1667.4
2020-04-14,2153.55
2020-04-15,1901.55
2020-04-16,857.85
2020-04-17,1498.35
2020-04-18,1075.2
2020-04-19,1225.35
2020-04-20,1554.0
2020-04-21,2102.1
2020-04-22,1669.5
2020-04-23,1911.0
2020-04-24,1356.6
2020-04-25,1195.95
2020-04-26,1677.9
2020-04-27,1714.65
2020-04-28,1626.45
2020-04-29,1739.85
2020-04-30,1535.1
2020-05-01,1165.15
2020-05-02,1168.65
2020-05-03,1375.5
2020-05-04,1692.6
2020-05-05,1881.6
2020-05-06,1662.15
2020-05-07,1701.0
2020-05-08,1299.9
2020-05-09,1253.7
2020-05-10,1335.6
2020-05-11,1892.1
2020-05-12,1869.0
2020-05-13,1729.35
2020-05-14,1282.05
2020-05-15,896.7
2020-05-16,1171.8
2020-05-17,1373.4
2020-05-18,1887.9
2020-05-19,1634.85
2020-05-20,1716.75
2020-05-21,1330.35
2020-05-22,504.0
2020-05-23,77.7
2020-05-24,491.4
2020-05-25,1026.9
2020-05-26,1606.5
2020-05-27,1863.75
2020-05-28,1705.2
2020-05-29,1252.65
2020-05-30,990.15
2020-05-31,724.5
2020-06-01,1976.93
2020-06-02,1471.4
2020-06-03,1464.04
2020-06-04,1544.97
2020-06-05,963.77
2020-06-06,971.12
2020-06-07,1357.89
2020-06-08,1938.04
2020-06-09,1259.1
2020-06-10,1244.38
2020-06-11,1887.6
2020-06-12,1016.32
2020-06-13,848.16
2020-06-14,1378.91
2020-06-15,1276.96
2020-06-16,1576.5
2020-06-17,1720.49
2020-06-18,1684.75
2020-06-19,832.39
2020-06-20,832.39
2020-06-21,752.52
2020-06-22,1554.43
2020-06-23,1927.53
2020-06-24,1961.17
2020-06-25,1407.29
2020-06-26,772.49
2020-06-27,1149.79
2020-06-28,1216.01
2020-06-29,1526.05
2020-06-30,1975.88
2020-07-01,1842.21
2020-07-02,890.2
2020-07-03,502.38
2020-07-04,621.14
2020-07-05,943.8
2020-07-06,1862.37
2020-07-07,1925.43
2020-07-08,1817.18
2020-07-09,1589.11
2020-07-10,1204.45
2020-07-11,854.46
2020-07-12,1241.23
2020-07-13,1921.23
2020-07-14,1833.99
2020-07-15,1676.35
2020-07-16,1541.82
2020-07-17,1065.71
2020-07-18,986.89
2020-07-19,1214.96
2020-07-20,1402.03
2020-07-21,1595.42
2020-07-22,1677.4
2020-07-23,1745.71
2020-07-24,1276.96
2020-07-25,1086.73
2020-07-26,1456.69
2020-07-27,1424.11
2020-07-28,1677.4
2020-07-29,1712.08
2020-07-30,1547.07
2020-07-31,1101.45
2020-08-01,928.2
2020-08-02,1117.2
2020-08-03,1401.75
2020-08-04,1359.75
2020-08-05,1524.6
2020-08-06,1579.2
2020-08-07,817.95
2020-08-08,747.6
2020-08-09,1151.85
2020-08-10,1314.6
2020-08-11,1695.75
2020-08-12,1330.35
2020-08-13,1477.35
2020-08-14,1106.7
2020-08-15,954.4
2020-08-16,1531.9
2020-08-17,1659.0
2020-08-18,1673.6
2020-08-19,1171.7
2020-08-20,1555.0
2020-08-21,1107.7
2020-08-22,974.4
2020-08-23,1318.8
2020-08-24,1598.1
2020-08-25,1636.9
2020-08-26,1964.5
2020-08-27,1851.1
2020-08-28,957.5
2020-08-29,918.7
2020-08-30,956.5
2020-08-31,1875.2
2020-09-01,1539.93
2020-09-02,1637.49
2020-09-03,1372.09
2020-09-04,531.84
2020-09-05,14.69
2020-09-06,225.54
2020-09-07,716.47
2020-09-08,1848.34
2020-09-09,1531.54
2020-09-10,1345.87
2020-09-11,888.58
2020-09-12,882.21
2020-09-13,1325.94
2020-09-14,1938.55
2020-09-15,1782.25
2020-09-16,1842.04
2020-09-17,1620.7
2020-09-18,1221.04
2020-09-19,1040.61
2020-09-20,1444.47
2020-09-21,1889.25
2020-09-22,1726.65
2020-09-23,1932.26
2020-09-24,1871.42
2020-09-25,1101.45
2020-09-26,1176.98
2020-09-27,1630.15
2020-09-28,1751.83
2020-09-29,1754.98
2020-09-30,2090.66
2020-10-01,1752.7
2020-10-02,947.1
2020-10-03,784.5
2020-10-04,1345.7
2020-10-05,1622.7
2020-10-06,2037.0
2020-10-07,2149.3
2020-10-08,1787.4
2020-10-09,1186.3
2020-10-10,965.08
2020-10-11,1399.37
2020-10-12,2414.8
2020-10-13,1843.0
2020-10-14,1987.8
2020-10-15,1896.5
2020-10-16,1287.0
2020-10-17,997.5
2020-10-18,1445.5
2020-10-19,2203.8
2020-10-20,1964.7
2020-10-21,1892.3
2020-10-22,1718.2
2020-10-23,1151.7
2020-10-24,1152.7
2020-10-25,1448.6
2020-10-26,2067.5
2020-10-27,2127.3
2020-10-28,1730.8
2020-10-29,2035.06
2020-10-30,1532.29
2020-10-31,1514.0
2020-11-01,1723.96
2020-11-02,2020.54
2020-11-03,1841.34
2020-11-04,1765.88
2020-11-05,1959.76
2020-11-06,1256.55
2020-11-07,1030.18
2020-11-08,1211.49
2020-11-09,1866.49
2020-11-10,1937.75
2020-11-11,2125.34
2020-11-12,1841.34
2020-11-13,1136.03
2020-11-14,1361.35
2020-11-15,1503.88
2020-11-16,2172.5
2020-11-17,2175.65
2020-11-18,1616.02
2020-11-19,1814.09
2020-11-20,1522.74
2020-11-21,1458.82
2020-11-22,1413.75
2020-11-23,2094.95
2020-11-24,1891.64
2020-11-25,864.6
2020-11-26,191.78
2020-11-27,667.58
2020-11-28,680.15
2020-11-29,1330.96
2020-11-30,2326.56
2020-12-01,2406.05
2020-12-02,1863.3
2020-12-03,1697.6
2020-12-04,1321.5
2020-12-05,1469.65
2020-12-06,1866.17
2020-12-07,2238.57
2020-12-08,2059.19
2020-12-09,1986.81
2020-12-10,1886.1
2020-12-11,1239.92
2020-12-12,1594.48
2020-12-13,1783.3
2020-12-14,2023.52
2020-12-15,2270.04
2020-12-16,2344.52
2020-12-17,1664.76
2020-12-18,1180.12
2020-12-19,1338.52
2020-12-20,1877.71
2020-12-21,2176.68
2020-12-22,2166.18
2020-12-23,1602.87
2020-12-24,973.47
2020-12-25,838.15
2020-12-26,1186.42
2020-12-27,1809.52
2020-12-28,2202.9
2020-12-29,1807.43
2020-12-30,1109.84
2020-12-31,702.83
2021-01-01,610.52
2021-01-02,796.19
2021-01-03,1401.46
2021-01-04,2313.04
2021-01-05,2252.2
2021-01-06,2296.26
2021-01-07,1889.25
2021-01-08,1499.02
2021-01-09,1330.13
2021-01-10,1503.22
2021-01-11,1884.0
2021-01-12,1869.32
2021-01-13,1787.5
2021-01-14,1813.72
2021-01-15,1154.95
2021-01-16,1086.76
2021-01-17,1595.53
2021-01-18,2021.42
2021-01-19,1925.96
2021-01-20,1677.32
2021-01-21,2064.43
2021-01-22,1275.58
2021-01-23,1116.14
2021-01-24,1405.66
2021-01-25,1763.37
2021-01-26,1933.31
2021-01-27,1906.03
2021-01-28,1740.29
2021-01-29,1019.63
2021-01-30,1030.12
2021-01-31,1249.36
2021-02-01,2091.81
2021-02-02,1784.74
2021-02-03,1868.58
2021-02-04,1843.43
2021-02-05,1517.5
2021-02-06,1728.15
2021-02-07,1771.12
2021-02-08,2199.75
2021-02-09,2312.94
2021-02-10,2049.89
2021-02-11,2017.4
2021-02-12,1895.83
2021-02-13,1591.91
2021-02-14,1758.54
2021-02-15,1956.62
2021-02-16,2164.12
2021-02-17,1789.98
2021-02-18,1881.16
2021-02-19,1725.01
2021-02-20,1545.8
2021-02-21,1575.14
2021-02-22,2174.6
2021-02-23,2037.31
2021-02-24,1847.62
2021-02-25,1741.78
2021-02-26,1517.5
2021-02-27,1158.04
2021-02-28,1213.58
2021-03-01,1647.4
2021-03-02,1811.99
2021-03-03,1894.78
