Date,total_usage,xgboost_pred,ridge_pred,en_pred,prophet_pred,avg_usage_plags,avg_usage_plags_week,ensemble_preds,sarimax_preds
3/21/2024,2178.8,2134.613022,2180.484054,2239.508767,2090.911881,1879.347631,1942.42883,2210.358987,1896.241752
3/22/2024,1414.49,1492.849133,1524.122447,1473.842372,1542.834005,1453.74038,1331.569713,1726.281343,1281.298067
3/23/2024,1617.62,1137.74293,1193.25409,1312.116539,1236.731911,1295.812374,1125.410234,1412.611993,1065.450223
3/24/2024,1865.76,2060.697423,2037.113388,2283.037945,1699.630084,1603.028799,1538.73083,1828.84693,1498.717353
3/25/2024,2432.18,2345.384603,2357.123047,2434.269204,2227.54912,2035.491397,2126.944596,2352.316319,2084.953841
3/26/2024,2476.15,2424.30087,2406.536073,2453.850261,2289.890289,2206.666497,2200.030851,2478.615429,2169.340836
3/27/2024,2125.4,2266.313223,2181.79246,2316.90303,2230.163745,2128.421123,2115.210011,2380.786472,2090.222109
3/28/2024,815.61,1955.842337,1896.604258,1888.005533,2059.893424,1868.316067,1930.734043,2201.919653,1896.445915
3/29/2024,337.14,281.6211694,794.2762732,593.6054587,1504.226092,1438.631609,1318.816521,1567.309697,1281.50223
3/30/2024,673.22,657.4800574,857.1400614,681.5673142,1190.11959,1280.002598,1121.965766,1320.943099,1065.654386
3/31/2024,1263.73,1339.153716,1473.771789,1239.917425,1644.888007,1591.151034,1536.821149,1651.170724,1498.921516
4/1/2024,2549.45,2423.683979,2108.495955,1969.046479,2164.856055,2026.831229,2124.747681,2033.830679,2085.158003
4/2/2024,2872.97,2291.729694,2656.160231,2620.018535,2219.734001,2208.707615,2208.214043,2201.890726,2169.544998
4/3/2024,2687.65,2662.767546,2435.212924,2257.041681,2153.335908,2130.66805,2126.87267,2201.934014,2090.426272
4/4/2024,2245.82,2355.573492,1712.933529,1812.406457,1977.474563,1866.32876,1931.173511,1844.33709,1896.650077
4/5/2024,1585.16,1682.066277,1271.893712,1555.730298,1417.56083,1427.298447,1310.356415,1405.380939,1281.706392
4/6/2024,1404.03,1590.479679,1309.870182,1481.293125,1100.782797,1274.208028,1110.679596,1265.322124,1065.858549
4/7/2024,1383.09,1981.37668,1658.66115,1774.301268,1554.642728,1590.988542,1523.205298,1638.004994,1499.125678
4/8/2024,1974.64,2028.993748,2202.513743,2191.900142,2075.604364,2025.279832,2115.828745,2196.175349,2085.362166
4/9/2024,2359.94,2107.808259,2351.047425,2339.878816,2133.462135,2222.909067,2212.513511,2284.23213,2169.749161
4/10/2024,2067.83,2245.657659,2263.743471,2265.959069,2072.055274,2140.916989,2131.530223,2271.004817,2090.630434
4/11/2024,1644.84,2014.103689,1695.895589,1555.741408,1903.160307,1870.693453,1929.101702,2041.722962,1896.85424
4/12/2024,1108.773,1106.678501,1320.855844,1345.237551,1352.089788,1425.802078,1302.293011,1565.030161,1281.910555
4/13/2024,1149.606,1019.761503,1148.817744,1123.600828,1045.872685,1266.235922,1106.379702,1309.472805,1066.062711
4/14/2024,1576.79,1636.412824,1572.107281,1411.56925,1511.794412,1581.317587,1522.039872,1610.051284,1499.329841
4/15/2024,2246.86,2354.074119,2311.43183,2273.262133,2046.048987,2019.52343,2110.57034,2088.311765,2085.566328
4/16/2024,2385.066,2285.608749,2585.136275,2436.867685,2118.114775,2208.175028,2213.012234,2257.973835,2169.953323
4/17/2024,2078.29,2271.843237,2223.699711,2133.520738,2071.476614,2125.834553,2122.205755,2172.320856,2090.834597
4/18/2024,2130.64,1788.469779,1767.371595,1652.664224,1917.527602,1849.56695,1919.187872,1977.304339,1897.058402
4/19/2024,1572.59,1574.481553,1553.591551,1638.406173,1381.178157,1415.047101,1294.04517,1545.290548,1282.114717
4/20/2024,1189.4,1438.566776,1314.803264,1393.604161,1089.047463,1263.308693,1100.224553,1325.155713,1066.266874
4/21/2024,2078.3,1568.984045,1447.906602,1438.448997,1568.014993,1583.075615,1516.906468,1623.604521,1499.534003
4/22/2024,2311.78,2246.721356,2478.918972,2587.547621,2113.88426,2025.273441,2105.764064,2202.694221,2085.770491
4/23/2024,2041.65,2283.33986,2453.581071,2347.798248,2195.769927,2215.193944,2212.295489,2315.589015,2170.157486
4/24/2024,2099.24,1979.123614,2090.201131,1978.669823,2156.830729,2131.207011,2120.573628,2180.571969,2091.038759
4/25/2024,1818.63,1960.062571,1980.796232,1936.668465,2008.181193,1842.897978,1910.437553,2057.070082,1897.262565
4/26/2024,1273.15,1160.228511,1398.151777,1340.34136,1474.509457,1415.001235,1292.155702,1579.730042,1282.31888
4/27/2024,967.43,1009.720374,1201.791828,1318.946178,1182.276038,1262.901542,1094.144553,1289.397471,1066.471036
4/28/2024,1579.92,1402.619667,1556.663655,1478.119082,1658.271029,1578.397346,1520.149979,1650.67383,1499.738166
4/29/2024,1904.5,2029.472429,2058.296851,2018.180201,2198.28168,2019.997173,2099.070447,2084.010635,2085.974653
4/30/2024,2177.75,2016.982262,2003.840833,1963.126923,2271.481373,2202.172715,2206.149106,2155.160351,2170.361648
5/1/2024,1894.784,2133.339497,2189.623087,2109.357982,2221.162377,2121.349693,2116.541819,2063.647327,2091.242922
5/2/2024,1945.088,1809.06023,1752.539469,1697.489771,2058.645343,1835.291352,1911.29117,1864.211596,1897.466728
5/3/2024,1099.352,1254.901843,1374.42834,1477.617376,1508.892878,1400.855939,1281.318149,1467.992754,1282.523042
5/4/2024,1096.208,775.3303325,968.8506539,935.5998501,1198.70216,1250.876514,1086.450936,1198.680302,1066.675199
5/5/2024,1725.008,1477.334617,1582.155217,1577.891872,1655.254212,1571.685112,1520.756574,1526.026217,1499.942328
5/6/2024,2063.52,2121.037968,2172.242526,2077.295884,2174.772007,2012.068603,2098.266085,1973.57405,2086.178816
5/7/2024,2457.508,2239.725902,2129.970024,2043.774537,2226.898646,2183.758425,2193.460277,2063.100981,2170.565811
5/8/2024,2060.37,2291.450352,2280.903286,2393.377775,2155.418298,2113.215112,2107.407287,2029.689368,2091.447084
5/9/2024,1835.05,1864.968724,1732.886405,1725.282744,1972.153159,1827.843855,1903.817426,1869.393859,1897.67089
5/10/2024,1238.736,1075.171094,1294.203891,1362.409359,1402.564134,1395.513235,1270.129766,1437.254788,1282.727205
5/11/2024,1124.504,942.0229568,1173.171221,1180.329497,1073.930518,1248.083631,1072.883894,1246.877458,1066.879361
5/12/2024,1467.2,1646.226107,1540.225092,1530.280445,1513.88668,1571.387156,1513.322191,1543.05092,1500.146491
5/13/2024,2051.984,2155.564929,1982.281636,1966.692471,2019.068238,2006.742704,2084.126511,1942.017101,2086.382978
