Date,ensemble_preds,sarimax_preds
9/12/2024,1646.264362,1901.345815
9/13/2024,1270.78579,1286.40213
9/14/2024,1101.722951,1070.554286
9/15/2024,1332.22911,1503.821416
9/16/2024,1723.408179,2090.057903
9/17/2024,1827.849777,2174.444899
9/18/2024,1751.266473,2095.326172
9/19/2024,1678.914539,1901.549978
9/20/2024,1300.463365,1286.606292
9/21/2024,1083.291502,1070.758449
9/22/2024,1371.07933,1504.025579
9/23/2024,1753.144753,2090.262066
9/24/2024,1772.527796,2174.649061
9/25/2024,1785.202499,2095.530335
9/26/2024,1600.770733,1901.75414
9/27/2024,1258.080687,1286.810455
9/28/2024,1067.425724,1070.962611
9/29/2024,1299.042831,1504.229741
9/30/2024,1629.379182,2090.466228
10/1/2024,1828.11814,2174.853224
10/2/2024,1847.743319,2095.734497
10/3/2024,1734.280428,1901.958303
10/4/2024,1329.588293,1287.014617
10/5/2024,1107.579583,1071.166774
10/6/2024,1404.159364,1504.433904
10/7/2024,1786.169333,2090.670391
10/8/2024,1936.06054,2175.057386
10/9/2024,1829.257383,2095.93866
10/10/2024,1746.192938,1902.162465
10/11/2024,1330.181505,1287.21878
10/12/2024,1097.701363,1071.370936
10/13/2024,1394.160938,1504.638066
10/14/2024,1842.757294,2090.874553
10/15/2024,1969.287836,2175.261549
10/16/2024,1929.179505,2096.142822
10/17/2024,1774.840263,1902.366628
10/18/2024,1394.247026,1287.422943
10/19/2024,1181.360955,1071.575099
10/20/2024,1467.59,1504.842229
10/21/2024,1939.757389,2091.078716
10/22/2024,1995.578471,2175.465711
10/23/2024,1919.718778,2096.346985
10/24/2024,1799.621658,1902.57079
10/25/2024,1453.301824,1287.627105
10/26/2024,1215.344274,1071.779261
10/27/2024,1481.228791,1505.046391
10/28/2024,1905.087076,2091.282879
10/29/2024,2055.82661,2175.669874
10/30/2024,2048.92387,2096.551147
10/31/2024,1870.334939,1902.774953
11/1/2024,1501.237413,1287.831268
11/2/2024,1266.317097,1071.983424
11/3/2024,1572.452697,1505.250554
11/4/2024,2012.798838,2091.487041
11/5/2024,2148.31788,2175.874036
11/6/2024,2009.68621,2096.75531
11/7/2024,1905.600723,1902.979115
11/8/2024,1528.601274,1288.03543
11/9/2024,1295.146155,1072.187586
11/10/2024,1628.58233,1505.454716
11/11/2024,2032.850535,2091.691204
11/12/2024,2079.689394,2176.078199
11/13/2024,2036.984031,2096.959472
11/14/2024,1918.578386,1903.183278
11/15/2024,1514.505832,1288.239593
11/16/2024,1316.614936,1072.391749
11/17/2024,1645.009875,1505.658879
11/18/2024,2021.267594,2091.895366
11/19/2024,2092.415491,2176.282361
11/20/2024,1949.940232,2097.163635
11/21/2024,1791.580219,1903.38744
11/22/2024,1495.234806,1288.443755
11/23/2024,1296.164894,1072.595911
11/24/2024,1656.699594,1505.863041
11/25/2024,2123.405833,2092.099529
11/26/2024,2175.860694,2176.486524
11/27/2024,2142.783882,2097.367797
11/28/2024,1826.920035,1903.591603
11/29/2024,1406.934472,1288.647918
11/30/2024,1228.674811,1072.800074
